,avge,count,days,ma,scope,sum
0,259.056134286,364,150,ma5,0.04,94296.43288
1,255.849697936,533,150,ma10,0.04,136367.889
2,252.876377793,580,150,ma20,0.04,146668.29912
3,292.892535028,362,160,ma5,0.04,106027.09768
4,291.951280526,532,160,ma10,0.04,155318.08124
5,299.582385517,580,160,ma20,0.04,173757.7836
6,312.536949282,362,170,ma5,0.04,113138.37564
7,317.145902782,532,170,ma10,0.04,168721.62028
8,335.619355371,579,170,ma20,0.04,194323.60676
9,350.302805028,358,180,ma5,0.04,125408.4042
10,353.641476495,525,180,ma10,0.04,185661.77516
11,351.679610826,569,180,ma20,0.04,200105.69856
12,351.329572056,355,190,ma5,0.04,124721.99808
13,365.501041779,517,190,ma10,0.04,188964.0386
14,360.510923435,559,190,ma20,0.04,201525.6062
15,355.162714416,351,200,ma5,0.04,124662.11276
16,374.700199684,507,200,ma10,0.04,189973.00124
17,363.85122623,549,200,ma20,0.04,199754.3232
18,365.651497688,346,210,ma5,0.04,126515.4182
19,379.001262,500,210,ma10,0.04,189500.631
20,364.936367468,541,210,ma20,0.04,197430.5748
21,360.229878123,341,220,ma5,0.04,122838.38844
22,372.867550345,493,220,ma10,0.04,183823.70232
23,374.556689624,532,220,ma20,0.04,199264.15888
24,394.69630006,335,230,ma5,0.04,132223.26052
25,410.818441656,483,230,ma10,0.04,198425.30732
26,397.943139617,522,230,ma20,0.04,207726.31888
27,400.73732897,330,240,ma5,0.04,132243.31856
28,413.595240674,475,240,ma10,0.04,196457.73932
29,391.789265625,512,240,ma20,0.04,200596.104
30,405.754947081,322,250,ma5,0.04,130653.09296
31,419.11764972,465,250,ma10,0.04,194889.70712
32,401.07849761,502,250,ma20,0.04,201341.4058
33,401.048704702,319,260,ma5,0.04,127934.5368
34,413.246781171,461,260,ma10,0.04,190506.76612
35,397.542200406,493,260,ma20,0.04,195988.3048
36,416.016322152,316,270,ma5,0.04,131461.1578
37,417.839597162,451,270,ma10,0.04,188445.65832
38,400.994991718,483,270,ma20,0.04,193680.581
39,425.521588387,310,280,ma5,0.04,131911.6924
40,442.532757124,445,280,ma10,0.04,196927.07692
41,426.625918087,481,280,ma20,0.04,205207.0666
42,444.953241558,308,290,ma5,0.04,137045.5984
43,453.509977195,442,290,ma10,0.04,200451.40992
44,446.714653975,478,290,ma20,0.04,213529.6046
45,460.963714079,304,300,ma5,0.04,140132.96908
46,468.447202648,438,300,ma10,0.04,205179.87476
47,465.261177532,470,300,ma20,0.04,218672.75344
48,467.506899394,297,310,ma5,0.04,138849.54912
49,484.081301259,429,310,ma10,0.04,207670.87824
50,487.303169978,465,310,ma20,0.04,226595.97404
51,493.072265724,297,320,ma5,0.04,146442.46292
52,516.620681589,428,320,ma10,0.04,221113.65172
53,519.294336086,465,320,ma20,0.04,241471.86628
54,520.279789388,294,330,ma5,0.04,152962.25808
