,avge,count,days,ma,scope,sum
0,42.4947436027,297,100,"('ma5', 'ma10')",0.05,12620.93885
1,32.04468,165,100,"('ma5', 'ma20')",0.05,5287.3722
2,30.0146670068,147,100,"('ma10', 'ma20')",0.05,4412.15605
3,75.5097548822,297,150,"('ma5', 'ma10')",0.05,22426.3972
4,68.3674366667,165,150,"('ma5', 'ma20')",0.05,11280.62705
5,46.3464673469,147,150,"('ma10', 'ma20')",0.05,6812.9307
6,94.1244670034,297,200,"('ma5', 'ma10')",0.05,27954.9667
7,78.8804933333,165,200,"('ma5', 'ma20')",0.05,13015.2814
8,67.0462727891,147,200,"('ma10', 'ma20')",0.05,9855.8021
9,111.797395118,297,250,"('ma5', 'ma10')",0.05,33203.82635
10,93.3102133333,165,250,"('ma5', 'ma20')",0.05,15396.1852
11,108.356267007,147,250,"('ma10', 'ma20')",0.05,15928.37125
12,117.611578788,297,280,"('ma5', 'ma10')",0.05,34930.6389
13,94.5869378788,165,280,"('ma5', 'ma20')",0.05,15606.84475
14,110.506222449,147,280,"('ma10', 'ma20')",0.05,16244.4147
15,116.284814478,297,290,"('ma5', 'ma10')",0.05,34536.5899
16,98.1008215152,165,290,"('ma5', 'ma20')",0.05,16186.63555
17,104.882643197,147,290,"('ma10', 'ma20')",0.05,15417.74855
18,121.377356566,297,300,"('ma5', 'ma10')",0.05,36049.0749
19,94.2603548485,165,300,"('ma5', 'ma20')",0.05,15552.95855
20,109.98370102,147,300,"('ma10', 'ma20')",0.05,16167.60405
21,37.6569737374,297,100,"('ma5', 'ma10')",0.06,11184.1212
22,26.7651830303,165,100,"('ma5', 'ma20')",0.06,4416.2552
23,29.3246263946,147,100,"('ma10', 'ma20')",0.06,4310.72008
24,68.6018241077,297,150,"('ma5', 'ma10')",0.06,20374.74176
25,63.8925951515,165,150,"('ma5', 'ma20')",0.06,10542.2782
26,42.0450117007,147,150,"('ma10', 'ma20')",0.06,6180.61672
27,91.8966017508,297,200,"('ma5', 'ma10')",0.06,27293.29072
28,76.9518328485,165,200,"('ma5', 'ma20')",0.06,12697.05242
29,64.8937790476,147,200,"('ma10', 'ma20')",0.06,9539.38552
