,open,close,high,low,ma5,ma10,ma20,rolling_low,stop_loss,earnings,ma5_up_10,ma5_crossdown_20,ma_cross_earnings
59,3739.101,3556.991,3742.741,3534.391,3721.1,3739.25,3725.55,,3365.1909,-373.9101,,,
60,3795.251,3759.431,3805.841,3756.821,3764.5,3758.2,3724.4,,3415.7259,-379.5251,True,,-379.52509999999984
61,3747.761,3781.611,3781.861,3735.721,3767.6,3761.8,3713.075,,3372.9849,-374.7761,,,
62,3745.761,3753.891,3754.171,3702.741,3754.4,3767,3700.25,,3371.1849,-374.5761,,,
63,3774.441,3753.341,3802.851,3743.411,3755.3,3774.9,3692.2,,3396.9969,-377.4441,,,
64,3778.881,3774.381,3793.541,3757.031,3757.4,3783.6,3684,,3400.9929,-377.8881,,,
65,3725.621,3774.971,3775.231,3714.671,3751.9,3785.55,3673.85,,3353.0589,-372.5621,,,
66,3760.461,3715.581,3771.851,3706.311,3756,3778.65,3661.325,,3384.4149,-376.0461,,,
67,3790.431,3758.391,3852.771,3750.161,3779.6,3769.95,3649.225,,3411.3879,-379.0431,,,
68,3682.731,3764.131,3764.411,3680.071,3794.5,3740.65,3640.175,,3314.4579,-368.2731,,,
69,3756.201,3746.241,3793.711,3727.581,3809.8,3711.85,3628.675,,3380.5809,-375.6201,,,
70,3841.741,3795.321,3843.901,3771.271,3819.2,3690.6,3618.075,,3457.5669,-384.1741,,,
71,3828.451,3833.651,3843.111,3781.411,3801.3,3664.35,3602.625,,3445.6059,-382.8451,,,
72,3806.671,3833.241,3876.491,3798.821,3760.3,3633.5,3581.25,,3426.0039,-380.6671,,,
73,3796.381,3840.351,3891.771,3796.381,3686.8,3609.5,3561.85,,3416.7429,-379.6381,True,,-379.6381000000001
74,3698.341,3793.371,3801.711,3694.661,3613.9,3584.4,3542.225,,3328.5069,-369.8341,,,
75,3630.781,3705.971,3781.411,3627.301,3562,3562.15,3519.55,,3267.7029,-363.0781,,,
76,3477.161,3628.541,3628.541,3477.161,3527.4,3544,3499.075,,3129.4449,-347.7161,,,
77,3484.721,3465.491,3501.701,3452.621,3506.7,3528.5,3477.8,,3136.2489,-348.4721,,,
78,3489.231,3475.961,3543.451,3474.711,3532.2,3539.7,3463.475,,3140.3079,-348.9231,,,
79,3530.221,3534.081,3574.471,3497.571,3554.9,3545.5,3451.8,,3177.1989,-353.0221,,,
80,3539.981,3533.311,3561.811,3507.971,3562.3,3545.55,3436.7,,3185.9829,-353.9981,,,
81,3575.801,3524.921,3598.171,3517.211,3560.6,3540.9,3424.3,,3218.2209,-357.5801,,,
82,3569.451,3592.881,3601.051,3486.101,3550.3,3529,3411.2,,3212.5059,-356.9451,,,
83,3614.701,3589.261,3620.761,3561.191,3547.2,3514.2,3398.5,,3253.2309,-361.4701,,,
84,3536.841,3571.241,3581.841,3515.821,3536.1,3500.05,3384.45,,3183.1569,-353.6841,,,
85,3453.201,3524.531,3530.771,3442.311,3528.8,3476.95,3368.45,,3107.8809,-345.3201,,,
86,3580.841,3473.251,3601.241,3417.411,3521.2,3454.15,3354.075,,3222.7569,-358.0841,,,
87,3527.881,3577.701,3577.801,3510.441,3507.7,3427.1,3345.875,,3175.0929,-352.7881,,,
