,avge,count,days,ma,scope,sum
0,116.23245885,113,100,"('ma5', 'ma10')",0.05,13134.26785
1,95.8222184615,65,100,"('ma5', 'ma20')",0.05,6228.4442
2,100.427815741,54,100,"('ma10', 'ma20')",0.05,5423.10205
3,227.694206637,113,150,"('ma5', 'ma10')",0.05,25729.44535
4,196.605515385,65,150,"('ma5', 'ma20')",0.05,12779.3585
5,203.033286111,54,150,"('ma10', 'ma20')",0.05,10963.79745
6,279.050789823,113,200,"('ma5', 'ma10')",0.05,31532.73925
7,194.721677692,65,200,"('ma5', 'ma20')",0.05,12656.90905
8,219.507618519,54,200,"('ma10', 'ma20')",0.05,11853.4114
9,276.461668142,113,250,"('ma5', 'ma10')",0.05,31240.1685
10,217.939702308,65,250,"('ma5', 'ma20')",0.05,14166.08065
11,214.248840741,54,250,"('ma10', 'ma20')",0.05,11569.4374
12,256.10949115,113,280,"('ma5', 'ma10')",0.05,28940.3725
13,170.317717692,65,280,"('ma5', 'ma20')",0.05,11070.65165
14,171.6791,54,280,"('ma10', 'ma20')",0.05,9270.6714
15,250.518721239,113,290,"('ma5', 'ma10')",0.05,28308.6155
16,159.161071538,65,290,"('ma5', 'ma20')",0.05,10345.46965
17,168.068008333,54,290,"('ma10', 'ma20')",0.05,9075.67245
18,242.338623894,113,300,"('ma5', 'ma10')",0.05,27384.2645
19,127.073164615,65,300,"('ma5', 'ma20')",0.05,8259.7557
20,156.000767593,54,300,"('ma10', 'ma20')",0.05,8424.04145
21,96.1644320354,113,100,"('ma5', 'ma10')",0.06,10866.58082
22,78.8489913846,65,100,"('ma5', 'ma20')",0.06,5125.18444
23,97.8706788889,54,100,"('ma10', 'ma20')",0.06,5285.01666
24,204.541632035,113,150,"('ma5', 'ma10')",0.06,23113.20442
25,173.453464615,65,150,"('ma5', 'ma20')",0.06,11274.4752
26,187.448233704,54,150,"('ma10', 'ma20')",0.06,10122.20462
27,255.362606195,113,200,"('ma5', 'ma10')",0.06,28855.9745
28,170.480665538,65,200,"('ma5', 'ma20')",0.06,11081.24326
29,200.640721481,54,200,"('ma10', 'ma20')",0.06,10834.59896
30,251.737706195,113,250,"('ma5', 'ma10')",0.06,28446.3608
31,192.807510462,65,250,"('ma5', 'ma20')",0.06,12532.48818
32,189.734705185,54,250,"('ma10', 'ma20')",0.06,10245.67408
33,231.385529204,113,280,"('ma5', 'ma10')",0.06,26146.5648
34,145.185525846,65,280,"('ma5', 'ma20')",0.06,9437.05918
35,146.644938519,54,280,"('ma10', 'ma20')",0.06,7918.82668
36,225.553890265,113,290,"('ma5', 'ma10')",0.06,25487.5896
37,133.610138154,65,290,"('ma5', 'ma20')",0.06,8684.65898
38,143.542512593,54,290,"('ma10', 'ma20')",0.06,7751.29568
39,217.37379292,113,300,"('ma5', 'ma10')",0.06,24563.2386
40,101.109083692,65,300,"('ma5', 'ma20')",0.06,6572.09044
41,130.458328519,54,300,"('ma10', 'ma20')",0.06,7044.74974
42,79.937439823,113,100,"('ma5', 'ma10')",0.07,9032.9307
43,63.9148589231,65,100,"('ma5', 'ma20')",0.07,4154.46583
44,83.157642963,54,100,"('ma10', 'ma20')",0.07,4490.51272
45,184.760926903,113,150,"('ma5', 'ma10')",0.07,20877.98474
46,156.523174615,65,150,"('ma5', 'ma20')",0.07,10174.00635
47,171.326417407,54,150,"('ma10', 'ma20')",0.07,9251.62654
48,237.148869912,113,200,"('ma5', 'ma10')",0.07,26797.8223
49,157.626008308,65,200,"('ma5', 'ma20')",0.07,10245.69054
50,190.744493148,54,200,"('ma10', 'ma20')",0.07,10300.20263
51,240.005687168,113,250,"('ma5', 'ma10')",0.07,27120.64265
52,187.404794154,65,250,"('ma5', 'ma20')",0.07,12181.31162
53,190.219532778,54,250,"('ma10', 'ma20')",0.07,10271.85477
54,225.715005752,113,280,"('ma5', 'ma10')",0.07,25505.79565
55,149.093732615,65,280,"('ma5', 'ma20')",0.07,9691.09262
56,158.489758704,54,280,"('ma10', 'ma20')",0.07,8558.44697
57,223.636931416,113,290,"('ma5', 'ma10')",0.07,25270.97325
58,143.815157231,65,290,"('ma5', 'ma20')",0.07,9347.98522
59,160.905666111,54,290,"('ma10', 'ma20')",0.07,8688.90597
60,219.026303097,113,300,"('ma5', 'ma10')",0.07,24749.97225
61,118.920895692,65,300,"('ma5', 'ma20')",0.07,7729.85822
62,155.33026,54,300,"('ma10', 'ma20')",0.07,8387.83404
63,60.5240764602,113,100,"('ma5', 'ma10')",0.08,6839.22064
64,50.4186603077,65,100,"('ma5', 'ma20')",0.08,3277.21292
65,62.73892,54,100,"('ma10', 'ma20')",0.08,3387.90168
66,163.983792566,113,150,"('ma5', 'ma10')",0.08,18530.16856
67,134.589784,65,150,"('ma5', 'ma20')",0.08,8748.33596
68,149.835520741,54,150,"('ma10', 'ma20')",0.08,8091.11812
69,213.85540885,113,200,"('ma5', 'ma10')",0.08,24165.6612
70,134.199596308,65,200,"('ma5', 'ma20')",0.08,8722.97376
71,167.193476296,54,200,"('ma10', 'ma20')",0.08,9028.44772
72,216.186522124,113,250,"('ma5', 'ma10')",0.08,24429.077
73,163.501764308,65,250,"('ma5', 'ma20')",0.08,10627.61468
74,166.116794074,54,250,"('ma10', 'ma20')",0.08,8970.30688
75,201.385766372,113,280,"('ma5', 'ma10')",0.08,22756.5916
76,124.303958154,65,280,"('ma5', 'ma20')",0.08,8079.75728
77,133.866994074,54,280,"('ma10', 'ma20')",0.08,7228.81768
78,199.066823009,113,290,"('ma5', 'ma10')",0.08,22494.551
79,118.606641231,65,290,"('ma5', 'ma20')",0.08,7709.43168
80,136.282901481,54,290,"('ma10', 'ma20')",0.08,7359.27668
81,194.45619469,113,300,"('ma5', 'ma10')",0.08,21973.55
82,93.7123796923,65,300,"('ma5', 'ma20')",0.08,6091.30468
83,130.199217778,54,300,"('ma10', 'ma20')",0.08,7030.75776
84,61.041420354,113,100,"('ma5', 'ma10')",0.09,6897.6805
85,34.8824232308,65,100,"('ma5', 'ma20')",0.09,2267.35751
86,78.8374640741,54,100,"('ma10', 'ma20')",0.09,4257.22306
87,165.709462743,113,150,"('ma5', 'ma10')",0.09,18725.16929
88,116.661898923,65,150,"('ma5', 'ma20')",0.09,7583.02343
89,165.514953333,54,150,"('ma10', 'ma20')",0.09,8937.80748
90,205.681006283,113,200,"('ma5', 'ma10')",0.09,23241.95371
91,110.773184308,65,200,"('ma5', 'ma20')",0.09,7200.25698
92,171.039457222,54,200,"('ma10', 'ma20')",0.09,9236.13069
93,212.664180442,113,250,"('ma5', 'ma10')",0.09,24031.05239
94,140.245770154,65,250,"('ma5', 'ma20')",0.09,9115.97506
95,176.071540556,54,250,"('ma10', 'ma20')",0.09,9507.86319
96,193.063824425,113,280,"('ma5', 'ma10')",0.09,21816.21216
97,99.5141836923,65,280,"('ma5', 'ma20')",0.09,6468.42194
98,139.989140556,54,280,"('ma10', 'ma20')",0.09,7559.41359
99,187.866932389,113,290,"('ma5', 'ma10')",0.09,21228.96336
100,93.3981252308,65,290,"('ma5', 'ma20')",0.09,6070.87814
101,140.692825741,54,290,"('ma10', 'ma20')",0.09,7597.41259
102,184.389746549,113,300,"('ma5', 'ma10')",0.09,20836.04136
103,68.5038636923,65,300,"('ma5', 'ma20')",0.09,4452.75114
104,132.849677593,54,300,"('ma10', 'ma20')",0.09,7173.88259
105,59.5294681416,113,100,"('ma5', 'ma10')",0.1,6726.8299
106,66.0942276923,65,100,"('ma5', 'ma20')",0.1,4296.1248
107,71.4389333333,54,100,"('ma10', 'ma20')",0.1,3857.7024
108,147.369142478,113,150,"('ma5', 'ma10')",0.1,16652.7131
109,120.576461538,65,150,"('ma5', 'ma20')",0.1,7837.47
110,153.499966667,54,150,"('ma10', 'ma20')",0.1,8288.9982
111,182.757839823,113,200,"('ma5', 'ma10')",0.1,20651.6359
112,102.298826154,65,200,"('ma5', 'ma20')",0.1,6649.4237
113,149.608924074,54,200,"('ma10', 'ma20')",0.1,8078.8819
114,189.478567257,113,250,"('ma5', 'ma10')",0.1,21411.0781
115,132.749613846,65,250,"('ma5', 'ma20')",0.1,8628.7249
116,152.334427778,54,250,"('ma10', 'ma20')",0.1,8226.0591
117,169.104879646,113,280,"('ma5', 'ma10')",0.1,19108.8514
118,92.3857553846,65,280,"('ma5', 'ma20')",0.1,6005.0741
119,115.732001852,54,280,"('ma10', 'ma20')",0.1,6249.5281
120,165.437224779,113,290,"('ma5', 'ma10')",0.1,18694.4064
121,88.4237553846,65,290,"('ma5', 'ma20')",0.1,5747.5441
122,116.435687037,54,290,"('ma10', 'ma20')",0.1,6287.5271
123,163.323658407,113,300,"('ma5', 'ma10')",0.1,18455.5734
124,66.2384169231,65,300,"('ma5', 'ma20')",0.1,4305.4971
125,108.592538889,54,300,"('ma10', 'ma20')",0.1,5863.9971
126,53.8247984071,113,100,"('ma5', 'ma10')",0.11,6082.20222
127,51.9804255385,65,100,"('ma5', 'ma20')",0.11,3378.72766
128,64.4264916667,54,100,"('ma10', 'ma20')",0.11,3479.03055
129,148.01553469,113,150,"('ma5', 'ma10')",0.11,16725.75542
130,105.181913846,65,150,"('ma5', 'ma20')",0.11,6836.8244
131,145.338184259,54,150,"('ma10', 'ma20')",0.11,7848.26195
132,197.724693274,113,200,"('ma5', 'ma10')",0.11,22342.89034
133,92.6845167692,65,200,"('ma5', 'ma20')",0.11,6024.49359
134,143.470506296,54,200,"('ma10', 'ma20')",0.11,7747.40734
135,216.240230619,113,250,"('ma5', 'ma10')",0.11,24435.14606
136,120.147607538,65,250,"('ma5', 'ma20')",0.11,7809.59449
