,avge,avge2,count,days,ma,scope,sum,sum2
74,395.296968103,453.243617974,1160,190,ma20,0.05,458544.483,525762.59685
75,358.561274854,424.251522076,684,200,ma5,0.05,245255.912,290188.0411
76,368.988627202,445.859037133,1022,200,ma10,0.05,377106.377,455667.93595
77,394.455418182,468.060912641,1155,200,ma20,0.05,455596.008,540610.3541
78,374.60632106,436.989688954,679,210,ma5,0.05,254357.692,296715.9988
79,388.681574111,460.309250296,1012,210,ma10,0.05,393345.753,465832.9613
80,411.92669607,478.833413493,1145,210,ma20,0.05,471656.067,548264.25845
81,386.536878338,439.995283234,674,220,ma5,0.05,260525.856,296556.8209
82,410.80646507,468.749487874,1002,220,ma10,0.05,411628.078,469686.98685
83,435.701953304,486.018565374,1135,220,ma20,0.05,494521.717,551631.0717
84,404.457181138,450.68360247,668,230,ma5,0.05,270177.397,301056.64645
85,441.257010081,489.095419556,992,230,ma10,0.05,437726.954,485182.6562
86,465.292991111,500.720223733,1125,230,ma20,0.05,523454.615,563310.2517
87,421.739877644,459.624746677,662,240,ma5,0.05,279191.799,304271.5823
88,458.74987234,502.125601418,987,240,ma10,0.05,452786.124,495597.9686
89,478.068577061,511.895451703,1116,240,ma20,0.05,533524.532,571275.3241
90,414.355827744,461.900990396,656,250,ma5,0.05,271817.423,303007.0497
91,458.179628192,509.540836517,979,250,ma10,0.05,448557.856,498840.47895
92,472.425734657,512.38920185,1108,250,ma20,0.05,523447.714,567727.23565
93,411.843285496,466.682768931,655,260,ma5,0.05,269757.352,305677.21365
94,446.929255624,510.360170194,978,260,ma10,0.05,437096.812,499132.24645
95,453.675058664,511.721090433,1108,260,ma20,0.05,502671.965,566986.9682
96,405.441866359,465.938950077,651,270,ma5,0.05,263942.655,303326.2565
97,440.516176591,511.381212834,974,270,ma10,0.05,429062.756,498085.3013
98,441.065912965,514.934629782,1103,270,ma20,0.05,486495.702,567972.89665
99,391.104859133,450.322101006,646,280,ma5,0.05,252653.739,290908.07725
100,431.984860393,505.293709876,967,280,ma10,0.05,417729.36,488619.01745
101,430.194997255,506.964826441,1093,280,ma20,0.05,470203.132,554112.5553
102,385.266278816,427.442175234,642,290,ma5,0.05,247340.951,274417.8765
103,429.42804171,486.38855219,959,290,ma10,0.05,411821.492,466446.62155
104,434.63489289,492.80709446,1083,290,ma20,0.05,470709.589,533710.0833
105,392.298628527,420.917206191,638,300,ma5,0.05,250286.525,268545.17755
106,437.885879874,477.044707534,949,300,ma10,0.05,415553.7,452715.42745
107,443.817273998,485.515778378,1073,300,ma20,0.05,476215.935,520958.4302
108,394.853197785,399.391108544,632,310,ma5,0.05,249547.221,252415.1806
109,455.266002121,463.221027625,943,310,ma10,0.05,429315.84,436817.42905
110,465.302579492,479.314172954,1063,310,ma20,0.05,494616.642,509510.96585
111,405.185891892,402.434356439,629,320,ma5,0.05,254861.926,253131.2102
112,478.782837085,469.83217433,933,320,ma10,0.05,446704.387,438353.41865
113,483.034736942,486.760989031,1053,320,ma20,0.05,508635.578,512559.32145
114,408.0151216,409.47606272,625,330,ma5,0.05,255009.451,255922.5392
115,490.909929032,485.360897473,930,330,ma10,0.05,456546.234,451385.63465
116,488.967809524,495.338880429,1050,330,ma20,0.05,513416.2,520105.82445
117,381.752722311,405.898151204,623,340,ma5,0.05,237831.946,252874.5482
118,461.485427646,481.128314957,926,340,ma10,0.05,427335.506,445524.81965
119,455.067706616,482.669996644,1043,340,ma20,0.05,474635.618,503424.8065
120,304.970637931,334.272493937,696,150,ma5,0.06,212259.564,232653.65578
121,303.000762271,346.281551453,1039,150,ma10,0.06,314817.792,359786.53196
122,324.623040782,365.178011861,1177,150,ma20,0.06,382081.319,429814.51996
123,315.709661871,347.474666647,695,160,ma5,0.06,219418.215,241494.89332
124,317.360738921,361.057667669,1038,160,ma10,0.06,329420.447,374777.85904
125,346.036498726,384.483201869,1177,160,ma20,0.06,407284.959,452536.7286
126,331.621261871,368.778616921,695,170,ma5,0.06,230476.777,256301.13876
127,336.013495183,385.018447399,1038,170,ma10,0.06,348782.008,399649.1484
128,361.943994048,408.952009524,1176,170,ma20,0.06,425646.137,480927.5632
129,340.304121387,381.631810058,692,180,ma5,0.06,235490.452,264089.21256
130,360.314215534,406.592180175,1030,180,ma10,0.06,371123.642,418789.94558
131,383.502023136,428.360718338,1167,180,ma20,0.06,447546.861,499896.9583
132,370.132810496,406.538175918,686,190,ma5,0.06,253911.108,278885.18868
133,378.091580078,430.714994824,1024,190,ma10,0.06,387165.778,441052.1547
134,395.296968103,450.622989948,1160,190,ma20,0.06,458544.483,522722.66834
135,358.561274854,411.55175,684,200,ma5,0.06,245255.912,281501.397
136,368.988627202,439.106196106,1022,200,ma10,0.06,377106.377,448766.53242
137,394.455418182,465.298312589,1155,200,ma20,0.06,455596.008,537419.55104
138,374.60632106,424.791829514,679,210,ma5,0.06,254357.692,288433.65224
139,388.681574111,454.211222174,1012,210,ma10,0.06,393345.753,459661.75684
140,411.92669607,476.843959354,1145,210,ma20,0.06,471656.067,545986.33346
141,386.536878338,427.46212368,674,220,ma5,0.06,260525.856,288109.47136
142,410.80646507,462.426618782,1002,220,ma10,0.06,411628.078,463351.47202
143,435.701953304,484.372328529,1135,220,ma20,0.06,494521.717,549762.59288
144,404.457181138,437.036746617,668,230,ma5,0.06,270177.397,291940.54674
145,441.257010081,482.188648548,992,230,ma10,0.06,437726.954,478331.13936
146,465.292991111,498.9420624,1125,230,ma20,0.06,523454.615,561309.8202
147,421.739877644,445.364487553,662,240,ma5,0.06,279191.799,294831.29076
148,458.74987234,495.581768024,987,240,ma10,0.06,452786.124,489139.20504
149,478.068577061,511.044643262,1116,240,ma20,0.06,533524.532,570325.82188
150,414.355827744,447.572709512,656,250,ma5,0.06,271817.423,293607.69744
151,458.179628192,502.83284474,979,250,ma10,0.06,448557.856,492273.355
152,472.425734657,511.839807419,1108,250,ma20,0.06,523447.714,567118.50662
153,411.843285496,452.402051878,655,260,ma5,0.06,269757.352,296323.34398
154,446.929255624,503.500277648,978,260,ma10,0.06,437096.812,492423.27154
155,453.675058664,510.722651282,1108,260,ma20,0.06,502671.965,565880.69762
156,405.441866359,450.588632258,651,270,ma5,0.06,263942.655,293333.1996
157,440.516176591,503.642628501,974,270,ma10,0.06,429062.756,490547.92016
158,441.065912965,513.379643246,1103,270,ma20,0.06,486495.702,566257.7465
159,391.104859133,434.800093839,646,280,ma5,0.06,252653.739,280880.86062
160,431.984860393,496.697965295,967,280,ma10,0.06,417729.36,480306.93244
161,430.194997255,504.849905672,1093,280,ma20,0.06,470203.132,551800.9469
162,385.266278816,412.664754922,642,290,ma5,0.06,247340.951,264930.77266
163,429.42804171,477.761938999,959,290,ma10,0.06,411821.492,458173.6995
164,434.63489289,489.039528199,1083,290,ma20,0.06,470709.589,529629.80904
165,392.298628527,406.167327241,638,300,ma5,0.06,250286.525,259134.75478
166,437.885879874,468.189337808,949,300,ma10,0.06,415553.7,444311.68158
167,443.817273998,480.38566013,1073,300,ma20,0.06,476215.935,515453.81332
168,394.853197785,385.0496025,632,310,ma5,0.06,249547.221,243351.34878
169,455.266002121,455.111341569,943,310,ma10,0.06,429315.84,429169.9951
170,465.302579492,474.978817592,1063,310,ma20,0.06,494616.642,504902.4831
171,405.185891892,389.700069062,629,320,ma5,0.06,254861.926,245121.34344
172,478.782837085,462.689709282,933,320,ma10,0.06,446704.387,431689.49876
173,483.034736942,482.368559126,1053,320,ma20,0.06,508635.578,507934.09276
174,408.0151216,395.732642304,625,330,ma5,0.06,255009.451,247332.90144
175,490.909929032,476.948071785,930,330,ma10,0.06,456546.234,443561.70676
176,488.967809524,489.875901676,1050,330,ma20,0.06,513416.2,514369.69676
177,381.752722311,392.085720642,623,340,ma5,0.06,237831.946,244269.40396
178,461.485427646,471.927358834,926,340,ma10,0.06,427335.506,437004.73428
179,455.067706616,475.816884314,1043,340,ma20,0.06,474635.618,496277.01034
