,avge,count,days,ma,scope,sum
184,509.965998039,51,300,"('ma5', 'ma20')",0.1,26008.2659
436,499.733598077,52,200,"('ma5', 'ma20')",0.18,25986.1471
300,216.5458165,120,150,"('ma5', 'ma10')",0.14,25985.49798
173,489.229581132,53,200,"('ma10', 'ma20')",0.1,25929.1678
106,498.511266154,52,200,"('ma5', 'ma20')",0.08,25922.58584
82,505.433007647,51,290,"('ma5', 'ma20')",0.07,25777.08339
139,495.583071346,52,200,"('ma5', 'ma20')",0.09,25770.31971
385,513.5601528,50,310,"('ma5', 'ma20')",0.16,25678.00764
215,493.144458654,52,290,"('ma10', 'ma20')",0.11,25643.51185
85,500.921988039,51,300,"('ma5', 'ma20')",0.07,25547.02139
217,500.150526471,51,300,"('ma5', 'ma20')",0.11,25507.67685
3,212.181510417,120,150,"('ma5', 'ma10')",0.05,25461.78125
31,519.608464286,49,370,"('ma5', 'ma20')",0.05,25460.81475
218,489.0991125,52,300,"('ma10', 'ma20')",0.11,25433.15385
41,479.70649283,53,200,"('ma10', 'ma20')",0.06,25424.44412
259,514.367842449,49,350,"('ma5', 'ma20')",0.12,25204.02428
20,484.164061538,52,300,"('ma10', 'ma20')",0.05,25176.5312
206,474.329638679,53,200,"('ma10', 'ma20')",0.11,25139.47085
140,473.591088868,53,200,"('ma10', 'ma20')",0.09,25100.32771
403,472.527402308,52,200,"('ma5', 'ma20')",0.17,24571.42492
53,471.564673077,52,300,"('ma10', 'ma20')",0.06,24521.363
61,496.906682449,49,350,"('ma5', 'ma20')",0.06,24348.42744
172,464.081703846,52,200,"('ma5', 'ma20')",0.1,24132.2486
83,463.976794423,52,290,"('ma10', 'ma20')",0.07,24126.79331
37,446.496053333,54,150,"('ma5', 'ma20')",0.06,24110.78688
500,436.990734545,55,150,"('ma10', 'ma20')",0.2,24034.4904
115,470.517277647,51,290,"('ma5', 'ma20')",0.08,23996.38116
17,461.313726923,52,290,"('ma10', 'ma20')",0.05,23988.3138
118,466.006258039,51,300,"('ma5', 'ma20')",0.08,23766.31916
25,482.090555102,49,330,"('ma5', 'ma20')",0.05,23622.4372
64,481.518528571,49,370,"('ma5', 'ma20')",0.06,23594.4079
22,465.733224,50,310,"('ma5', 'ma20')",0.05,23286.6612
271,447.240072692,52,200,"('ma5', 'ma20')",0.13,23256.48378
256,473.667931429,49,330,"('ma5', 'ma20')",0.12,23209.72864
304,443.881150385,52,200,"('ma5', 'ma20')",0.14,23081.81982
50,443.744636923,52,290,"('ma10', 'ma20')",0.06,23074.72112
122,452.260203137,51,310,"('ma10', 'ma20')",0.08,23065.27036
160,467.645713061,49,350,"('ma5', 'ma20')",0.09,22914.63994
205,436.357944615,52,200,"('ma5', 'ma20')",0.11,22690.61312
163,463.028227143,49,370,"('ma5', 'ma20')",0.09,22688.38313
55,452.7015288,50,310,"('ma5', 'ma20')",0.06,22635.07644
337,434.833954808,52,200,"('ma5', 'ma20')",0.15,22611.36565
238,433.643066923,52,200,"('ma5', 'ma20')",0.12,22549.43948
94,459.503197551,49,350,"('ma5', 'ma20')",0.07,22515.65668
29,457.979035714,49,350,"('ma10', 'ma20')",0.05,22440.97275
70,413.26996963,54,150,"('ma5', 'ma20')",0.07,22316.57836
71,404.855202,55,150,"('ma10', 'ma20')",0.07,22267.03611
62,447.725548163,49,350,"('ma10', 'ma20')",0.06,21938.55186
58,444.687070204,49,330,"('ma5', 'ma20')",0.06,21789.66644
125,434.7057472,50,330,"('ma10', 'ma20')",0.08,21735.28736
97,443.428592857,49,370,"('ma5', 'ma20')",0.07,21728.00105
154,434.3706188,50,310,"('ma5', 'ma20')",0.09,21718.53094
157,442.452447755,49,330,"('ma5', 'ma20')",0.09,21680.16994
253,432.2660128,50,310,"('ma5', 'ma20')",0.12,21613.30064
188,423.710290196,51,310,"('ma10', 'ma20')",0.1,21609.2248
104,390.461613091,55,150,"('ma10', 'ma20')",0.08,21475.38872
528,172.762123145,124,100,"('ma5', 'ma10')",0.21,21422.50327
23,419.734847059,51,310,"('ma10', 'ma20')",0.05,21406.4772
627,172.406932581,124,100,"('ma5', 'ma10')",0.24,21378.45964
370,409.910764615,52,200,"('ma5', 'ma20')",0.16,21315.35976
155,417.777020196,51,310,"('ma10', 'ma20')",0.09,21306.62803
532,393.374441852,54,150,"('ma5', 'ma20')",0.21,21242.21986
193,432.219032653,49,350,"('ma5', 'ma20')",0.1,21178.7326
269,384.735779091,55,150,"('ma10', 'ma20')",0.13,21160.46785
631,390.985368148,54,150,"('ma5', 'ma20')",0.24,21113.20988
368,382.816186182,55,150,"('ma10', 'ma20')",0.16,21054.89024
5,382.140095455,55,150,"('ma10', 'ma20')",0.05,21017.70525
499,388.762377778,54,150,"('ma5', 'ma20')",0.2,20993.1684
