,avge,avge2,count,rlist,sum,sum2
0,69.8605873016,94.9433925397,630,"('gt_ma',)",44012.17,59814.3373
1,56.1590732357,75.3518782956,751,"('ma_up',)",42175.464,56589.2606
2,90.4901688501,93.8752605531,687,"('kdj_up',)",62166.746,64492.304
3,70.3270713043,95.5411274783,575,"('gt_ma', 'ma_up')",40438.066,54936.1483
4,96.0099396709,109.860321572,547,"('gt_ma', 'kdj_up')",52517.437,60093.5959
5,92.910705104,104.547611342,529,"('ma_up', 'kdj_up')",49149.763,55305.6864
6,97.2220903614,109.867057631,498,"('gt_ma', 'ma_up', 'kdj_up')",48416.601,54713.7947
