,avge,avge2,count,days,ma,scope,sum,sum2
73,186.679531951,203.663892679,2363,190,ma10,0.05,441123.734,481257.7784
74,197.476529346,209.100685977,2692,190,ma20,0.05,531606.817,562899.04665
75,186.041134752,195.965295035,1692,200,ma5,0.05,314781.6,331573.2792
76,188.445384583,212.696553791,2361,200,ma10,0.05,444919.553,502176.5635
77,199.308524358,218.162510022,2689,200,ma20,0.05,535940.622,586638.98945
78,194.996688204,206.642607706,1687,210,ma5,0.05,328959.413,348606.0792
79,202.696213526,226.468886559,2351,210,ma10,0.05,476538.798,532428.3523
80,211.485212393,228.284894084,2679,210,ma20,0.05,566568.884,611575.23125
81,194.200292683,209.062683998,1681,220,ma5,0.05,326450.692,351434.3718
82,209.41765314,234.099026719,2341,220,ma10,0.05,490246.726,548025.82155
83,223.153419633,236.340620794,2669,220,ma20,0.05,595596.477,630793.1169
84,202.768218974,219.591242661,1676,230,ma5,0.05,339839.535,368034.9227
85,223.032531103,247.072792986,2331,230,ma10,0.05,519888.83,575926.68045
86,233.640132381,246.26615425,2659,230,ma20,0.05,621249.112,654821.70415
87,212.260919113,227.958854164,1669,240,ma5,0.05,354263.474,380463.3276
88,233.466619089,255.531413306,2326,240,ma10,0.05,543043.356,594366.06735
89,242.87444566,254.545234113,2650,240,ma20,0.05,643617.281,674544.8704
90,213.380122744,233.196426986,1662,250,ma5,0.05,354637.764,387572.46165
91,234.754175151,260.553370492,2318,250,ma10,0.05,544160.178,603962.7128
92,241.696844234,258.4572231,2645,250,ma20,0.05,639288.153,683619.3551
93,214.978251054,234.600349217,1661,260,ma5,0.05,357078.875,389671.18005
94,229.80545384,258.863088136,2318,260,ma10,0.05,532689.042,600044.6383
95,235.789457845,254.697256938,2645,260,ma20,0.05,623663.116,673674.2446
96,211.338590223,231.863297435,1657,270,ma5,0.05,350188.044,384197.48385
97,227.455280035,258.860104624,2314,270,ma10,0.05,526331.518,599002.2821
98,231.903620167,253.924253867,2638,270,ma20,0.05,611761.75,669852.1817
99,209.017065336,229.157389111,1653,280,ma5,0.05,345505.209,378797.1642
100,222.180841352,256.421464391,2307,280,ma10,0.05,512571.201,591564.31835
101,225.387385084,250.622096823,2628,280,ma20,0.05,592318.048,658634.87045
102,204.863366889,225.367736446,1649,290,ma5,0.05,337819.692,371631.3974
103,217.735043062,251.593854502,2299,290,ma10,0.05,500572.864,578414.2715
104,221.499561497,244.333641005,2618,290,ma20,0.05,579885.852,639665.47215
105,204.458301944,221.988668682,1646,300,ma5,0.05,336538.365,365393.34865
106,217.023802706,245.767676713,2291,300,ma10,0.05,497201.532,563053.74735
107,220.91795092,238.898387558,2608,300,ma20,0.05,576154.016,623046.99475
108,202.299334146,212.019174756,1640,310,ma5,0.05,331770.908,347711.4466
109,220.359066521,238.127242582,2285,310,ma10,0.05,503520.467,544120.7493
110,222.943838722,232.420425924,2598,310,ma20,0.05,579208.093,603828.26655
111,201.449252902,209.980234606,1637,320,ma5,0.05,329772.427,343737.64405
112,225.427212308,240.075478659,2275,320,ma10,0.05,512846.908,546171.71395
113,224.337046754,230.201953709,2588,320,ma20,0.05,580584.277,595762.6562
114,200.288262094,210.938902082,1633,330,ma5,0.05,327070.732,344463.2271
115,227.285965654,241.627832673,2271,330,ma10,0.05,516166.428,548736.808
116,225.901856093,230.00898617,2585,330,ma20,0.05,583956.298,594573.22925
