,date,open,close,high,ma5,ma10,ma20,lt_ma,earning
150, 2015/07/14,8564.938,8555.758,8746.178,8010.6,8100.0,9161.3,True,-2260.716
151, 2015/07/13,8283.758,8390.788,8423.448,7805.6,8167.7,9318.65,True,-1999.136
152, 2015/07/10,7850.408,8001.468,8012.188,7733.0,8197.7,9498.9,True,-1066.306
153, 2015/07/09,7399.487,7677.208,7677.837,7746.4,8328.2,9695.6,True,-600.905
154, 2015/07/08,7254.627,7427.087,7463.717,7899.0,8576.4,9899.0,True,-410.695
155, 2015/07/07,7757.287,7531.177,7845.287,8189.4,8892.3,10102.85,True,-1042.305
156, 2015/07/06,8660.357,8028.177,8660.357,8529.8,9185.5,10302.85,True,-1972.895
157, 2015/07/03,8198.978,8068.067,8685.868,8662.4,9410.0,10487.35,True,-1471.756
158, 2015/07/02,8865.248,8440.758,8975.458,8910.0,9693.0,10667.9,True,-2221.366
159, 2015/07/01,9131.828,8879.518,9539.668,9253.8,9987.5,10835.25,True,-2730.946
160, 2015/06/30,8488.249,9232.478,9242.489,9595.2,10222.6,10986.15,True,-2089.027
161, 2015/06/29,9486.559,8690.818,9489.799,9841.2,10469.6,11099.5,True,-3001.788
162, 2015/06/26,9823.629,9306.019,9867.568,10157.6,10800.1,11213.55,True,-3425.108
163, 2015/06/25,10606.789,10160.599,10613.579,10476.0,11063.0,11290.8,True,-4215.198
164, 2015/06/24,10540.459,10585.608,10643.929,10721.2,11221.6,11361.85,True,-4338.468
165, 2015/06/23,10265.059,10462.949,10463.858,10850.0,11313.4,11410.8,True,-3992.148
166, 2015/06/19,10719.318,10273.539,10775.749,11098.0,11420.2,11444.7,True,-4671.967
167, 2015/06/18,11332.568,10897.679,11413.049,11442.6,11564.7,11477.5,True,-5076.487
168, 2015/06/17,11232.938,11385.379,11447.119,11650.0,11642.8,11475.4,False,0.0
169, 2015/06/16,11547.96,11230.71,11551.069,11722.0,11683.0,11425.45,False,0.0
170, 2015/06/15,12059.01,11702.63,12075.42,11776.8,11749.7,11373.8,False,0.0
171, 2015/06/12,11962.64,11996.52,12084.3,11742.4,11729.4,11285.1,False,0.0
172, 2015/06/11,11777.819,11934.71,11963.39,11686.8,11627.0,11166.95,False,0.0
173, 2015/06/10,11454.989,11746.2,11834.279,11635.6,11518.6,11055.55,False,0.0
174, 2015/06/09,11492.45,11503.859,11670.59,11644.0,11502.1,10954.5,False,0.0
175, 2015/06/08,11721.939,11530.77,11721.939,11722.6,11508.2,10859.15,False,0.0
176, 2015/06/05,11799.679,11718.2,11903.068,11716.4,11469.2,10752.8,False,0.0
177, 2015/06/04,11826.549,11678.818,11826.549,11567.2,11390.3,10613.8,False,0.0
178, 2015/06/03,11963.068,11788.459,11963.068,11401.6,11308.0,10456.95,False,0.0
179, 2015/06/02,11601.769,11896.229,11896.229,11360.2,11167.9,10298.3,False,0.0
180, 2015/06/01,11095.639,11500.139,11500.139,11293.8,10997.9,10132.0,False,0.0
181, 2015/05/29,10856.88,10972.108,11194.22,11222.0,10840.8,9997.65,False,0.0
182, 2015/05/28,11587.39,10851.56,11733.489,11213.4,10706.9,9887.9,False,0.0
183, 2015/05/27,11645.88,11580.689,11662.56,11214.4,10592.5,9785.25,False,0.0
184, 2015/05/26,11247.689,11564.43,11565.109,10975.6,10406.9,9638.05,False,0.0
185, 2015/05/25,10809.54,11140.95,11151.769,10702.0,10210.1,9506.6,False,0.0
186, 2015/05/22,11031.33,10929.2,11119.229,10459.6,10036.4,9394.0,False,0.0
187, 2015/05/21,10451.528,10856.309,10856.309,10200.4,9837.3,9291.85,False,0.0
188, 2015/05/20,10266.239,10387.249,10623.699,9970.6,9605.9,9187.85,False,0.0
189, 2015/05/19,10000.55,10196.278,10218.87,9838.2,9428.7,9095.15,False,0.0
