date,o,h,l,c,vol,MACD.DIF,MACD.DEA,MACD.MACD
 1991/12/23,27.7,27.9,27.6,27.8,127000,0,0,0
 1991/12/24,27.9,29.3,27,29.05,105000,0.1,0.02,0.16
 1991/12/25,29.15,30,29.1,29.3,226900,0.2,0.06,0.28
 1991/12/26,29.3,29.3,28,28,191800,0.17,0.08,0.18
 1991/12/27,28,28.5,28,28.45,210500,0.18,0.1,0.16
 1991/12/28,28.4,29.3,28.4,29.25,111600,0.25,0.13,0.24
 1991/12/30,29.3,29.4,28.8,28.8,105900,0.26,0.15,0.22
 1992/01/03,29.2,29.3,29,29.1,221200,0.3,0.18,0.23
 1992/01/06,29.1,29.8,29.05,29.7,263400,0.37,0.22,0.3
 1992/01/07,29.7,30.2,29.55,29.9,293100,0.43,0.26,0.34
 1992/01/08,29.8,30.2,29.55,29.65,192800,0.46,0.3,0.32
 1992/01/09,29.7,29.8,29.3,29.7,153500,0.48,0.34,0.29
 1992/01/10,29.65,29.8,29.5,29.8,152500,0.5,0.37,0.26
 1992/01/13,29.8,29.8,29.6,29.65,135300,0.5,0.4,0.2
 1992/01/14,29.65,29.65,29,29.2,171100,0.45,0.41,0.09
 1992/01/15,29.2,29.4,29,29.1,220500,0.41,0.41,0
 1992/01/16,29,29,28.55,28.9,126800,0.35,0.4,-0.09
 1992/01/17,28.9,28.9,28.35,28.8,114300,0.29,0.38,-0.17
 1992/01/20,28.8,29.5,28.8,29.45,108500,0.3,0.36,-0.13
 1992/01/21,29.5,29.8,29.2,29.3,157600,0.28,0.34,-0.12
 1992/01/22,29.25,29.3,28.8,28.95,159200,0.24,0.32,-0.16
 1992/01/23,28.95,29.3,28.95,29.2,147700,0.23,0.3,-0.15
 1992/01/24,29.25,29.7,29.05,29.05,232700,0.2,0.28,-0.17
 1992/01/27,29.55,29.6,29.3,29.4,257100,0.21,0.27,-0.12
 1992/01/28,29.4,29.5,29.35,29.5,233600,0.22,0.26,-0.08
 1992/01/29,29.5,30.05,29.5,30,212700,0.26,0.26,0
 1992/01/30,29.95,30.35,29.95,30.2,173500,0.31,0.27,0.08
 1992/02/01,31.15,32,31.15,32,222800,0.49,0.31,0.35
 1992/02/02,32,32.7,31.9,32.32,173500,0.65,0.38,0.53
 1992/02/10,32.3,32.5,30.9,31.6,164400,0.71,0.44,0.52
 1992/02/13,31.9,32,31.8,32,181200,0.78,0.51,0.53
 1992/02/14,32,32.1,31.8,31.8,192400,0.81,0.57,0.48
 1992/02/18,31.2,31.25,30.7,31,195500,0.76,0.61,0.3
 1992/02/19,31,31.2,30.2,31.05,194600,0.72,0.63,0.17
 1992/02/20,31,32,31,31,129600,0.67,0.64,0.06
 1992/02/21,31.8,31.9,31.6,31.65,171000,0.68,0.65,0.07
 1992/02/24,31.65,31.65,30.5,31.1,140500,0.63,0.64,-0.02
 1992/02/25,31.2,31.2,30.8,30.95,123100,0.58,0.63,-0.1
 1992/02/26,31,31,30.05,30.55,141900,0.5,0.6,-0.21
 1992/02/27,30.7,31,30.5,31,203300,0.46,0.58,-0.22
 1992/02/28,31,31.75,31,31.55,233500,0.48,0.56,-0.16
 1992/03/02,31.7,32,31.6,31.7,313700,0.49,0.54,-0.1
 1992/03/03,31.8,31.85,31.55,31.7,315000,0.5,0.53,-0.07
 1992/03/04,31.8,31.9,31.55,31.75,228800,0.5,0.53,-0.05
 1992/03/05,31.7,32,31.65,31.95,273300,0.52,0.53,-0.02
 1992/03/09,32.25,32.9,32.25,32.4,351500,0.56,0.53,0.05
 1992/03/10,32.5,32.5,31.9,32.1,228400,0.56,0.54,0.04
 1992/03/11,32,32.2,32,32.15,273800,0.56,0.54,0.03
 1992/03/12,32.1,32.25,32,32.25,261500,0.56,0.54,0.03
 1992/03/13,32.3,32.3,32.15,32.3,317000,0.56,0.55,0.02
 1992/03/16,32.45,32.9,32.35,32.8,490100,0.59,0.56,0.07
 1992/03/17,32.9,33,32.8,32.85,310600,0.61,0.57,0.09
 1992/03/18,32.85,32.95,32.75,32.9,605900,0.63,0.58,0.09
 1992/03/19,32.9,32.9,32.6,32.6,228600,0.61,0.58,0.04
 1992/03/20,32.75,32.75,32.2,32.45,256300,0.57,0.58,-0.02
 1992/03/23,32.45,33.28,31.78,33.05,486500,0.59,0.58,0.01
 1992/03/24,33.2,33.35,32.98,33.35,647600,0.61,0.59,0.05
 1992/03/25,33.35,35.15,33.2,34.93,665200,0.76,0.62,0.27
