date,o,h,l,c,vol,MACD.DIF,MACD.DEA,MACD.MACD
 1992/04/30,33,40.5,33,39.95,1268,0,0,0
 1992/05/03,40.3,41.5,40.1,41.4,208,0.12,0.02,0.19
 1992/05/08,41.5,44,39.75,40.25,6940,0.11,0.04,0.14
 1992/05/15,40.4,43.8,39.8,43.65,10425,0.38,0.11,0.54
 1992/05/22,43.8,48.5,43.8,47.2,8565,0.87,0.26,1.22
 1992/05/29,47.35,55,47.2,53.5,7960,1.75,0.56,2.38
 1992/06/05,53.4,56.3,48.3,50.6,9190,2.18,0.88,2.6
 1992/06/12,50.6,50.6,45,47.1,6345,2.22,1.15,2.14
 1992/06/19,47,47.45,42.5,44,9340,1.97,1.31,1.32
 1992/06/26,44,46.6,41.5,46.2,7525,1.94,1.44,0.99
 1992/07/03,46.7,50.25,46.7,48.7,12990,2.08,1.57,1.03
 1992/07/10,47.8,49.3,47,48,6125,2.12,1.68,0.88
 1992/07/17,48,52.7,48,52.7,5555,2.5,1.84,1.31
 1992/07/24,52.85,56.6,52.85,56.4,7800,3.06,2.09,1.95
 1992/07/31,58,58,57.3,57.55,2775,3.56,2.38,2.36
 1992/08/07,57.05,57.5,54.4,57.3,3480,3.89,2.68,2.42
 1992/08/14,57.3,59.75,52.1,54.1,7555,3.85,2.92,1.87
 1992/08/21,54.85,56.5,52.9,53.3,8985,3.71,3.07,1.27
 1992/08/27,53.15,53.15,50.95,51.9,6060,3.45,3.15,0.59
 1992/09/04,50.7,50.85,46.5,46.5,4190,2.77,3.07,-0.61
 1992/09/11,46.3,52.8,42.25,52.5,14390,2.69,3,-0.62
 1992/09/18,52.65,53.3,49,51.3,10670,2.49,2.9,-0.8
 1992/09/25,51.45,53.5,50.3,51.5,6320,2.33,2.78,-0.9
 1992/09/30,51.5,51.7,50.5,51.4,2430,2.17,2.66,-0.98
 1992/10/04,51.4,51.6,51.3,51.6,310,2.04,2.54,-1
 1992/10/09,51.75,52,50,51.5,2765,1.9,2.41,-1.02
 1992/10/16,52,52.5,50.5,51.3,4330,1.75,2.28,-1.05
 1992/10/23,51.7,52.55,47.1,47.2,16595,1.29,2.08,-1.58
 1992/10/30,46.79,46.79,33.7,36.64,13740,0.07,1.68,-3.21
