date,o,h,l,c,vol,MACD.DIF,MACD.DEA,MACD.MACD
 1991/12/27,27.7,30,27,28.45,8612,0,0,0
 1991/12/28,28,29.3,28,29.25,3221,0.06,0.01,0.1
 1992/01/03,29.3,29.4,28.8,29.1,3271,0.1,0.03,0.14
 1992/01/10,29.1,30.2,29.05,29.8,10553,0.19,0.06,0.25
 1992/01/17,29.8,29.8,28.35,28.8,7680,0.17,0.08,0.17
 1992/01/24,28.8,29.8,28.8,29.05,8057,0.17,0.1,0.15
 1992/01/30,29.55,30.35,29.3,30.2,8769,0.27,0.13,0.27
 1992/02/01,31.15,32,31.15,32,2228,0.48,0.2,0.56
 1992/02/02,32,32.7,31.9,32.32,1735,0.67,0.3,0.75
 1992/02/14,32.3,32.5,30.9,31.8,5380,0.77,0.39,0.75
 1992/02/21,31.2,32,30.2,31.65,6907,0.82,0.48,0.69
 1992/02/28,31.65,31.75,30.05,31.55,8423,0.85,0.55,0.6
 1992/03/05,31.7,32,31.55,31.95,11308,0.89,0.62,0.55
 1992/03/13,32.25,32.9,31.9,32.3,14322,0.95,0.69,0.52
 1992/03/20,32.45,33,32.2,32.45,18915,0.99,0.75,0.48
 1992/03/27,32.45,36.65,31.78,36.05,25306,1.3,0.86,0.88
 1992/04/03,36.05,40.85,35.9,39.13,28514,1.77,1.04,1.46
 1992/04/10,39.35,45.05,39.35,44.6,45120,2.55,1.34,2.43
 1992/04/17,44.83,51.95,44.83,48.2,45143,3.43,1.76,3.34
 1992/04/24,48.43,51.65,46.7,51.2,36372,4.31,2.27,4.09
 1992/04/30,51.43,58.25,50.45,57.95,35497,5.5,2.92,5.16
 1992/05/03,58.18,64.25,58.18,61.93,8449,6.68,3.67,6.02
 1992/05/08,62.15,73.03,61.55,64.1,52144,7.7,4.47,6.45
 1992/05/15,64.33,71.45,62.45,68.23,44383,8.74,5.33,6.83
 1992/05/22,68.45,71.68,65.6,66.8,41835,9.35,6.13,6.43
 1992/05/29,67.03,71,66.5,68,41188,9.81,6.87,5.88
 1992/06/05,68.23,70.1,58.22,63.05,41833,9.66,7.43,4.48
 1992/06/12,63.28,63.28,57.05,57.95,29971,9.03,7.75,2.57
 1992/06/19,54.43,57.65,48.65,54.5,34573,8.16,7.83,0.66
 1992/06/26,54.28,56.6,50.9,55.85,32011,7.49,7.76,-0.54
 1992/07/03,56.08,64.48,56.08,61.63,55187,7.35,7.68,-0.67
 1992/07/10,61.85,64.1,58.85,59.6,39536,6.98,7.54,-1.11
 1992/07/17,59.38,63.8,59,63.65,31373,6.94,7.42,-0.95
 1992/07/24,63.88,69.2,63.88,68.98,50001,7.26,7.39,-0.26
 1992/07/31,68.83,69.95,68.3,68.6,19486,7.39,7.39,0.01
 1992/08/07,68.6,70.1,63.2,67.7,31087,7.34,7.38,-0.08
 1992/08/14,67.93,69.95,62.68,65.75,36424,7.06,7.32,-0.51
 1992/08/21,65.98,68.23,64.55,64.78,31128,6.68,7.19,-1.01
 1992/08/28,64.55,64.55,60.65,62.9,29643,6.16,6.98,-1.64
 1992/09/04,61.85,61.85,58.25,58.4,23663,5.33,6.65,-2.65
 1992/09/11,58.18,65.3,54.95,65.15,59994,5.15,6.35,-2.41
 1992/09/18,65.38,66.8,62.45,64.1,42260,4.86,6.05,-2.38
 1992/09/25,63.95,69.5,63.8,68.15,59404,4.91,5.83,-1.83
 1992/09/30,68.15,68.23,66.8,67.1,23218,4.81,5.62,-1.63
 1992/10/04,67.1,67.7,67.1,67.4,3344,4.7,5.44,-1.48
 1992/10/09,67.4,67.55,65.45,67.03,17382,4.53,5.25,-1.46
 1992/10/16,67.25,68.23,65.15,66.05,18271,4.26,5.06,-1.59
 1992/10/23,66.05,66.35,60.95,61.4,30722,3.64,4.77,-2.27
 1992/10/30,61.18,61.18,55.93,60.13,57551,3,4.42,-2.83
 1992/11/06,60.2,60.2,56.3,57.2,24115,2.24,3.98,-3.49
 1992/11/13,56.98,57.2,50.75,51.35,22682,1.15,3.42,-4.53
 1992/11/19,51.13,51.13,43.7,47.6,47456,-0.02,2.73,-5.49
 1992/11/27,46.78,52.85,44.83,52.33,38818,-0.56,2.07,-5.25
 1992/12/04,52.55,60.2,52.55,58.7,75527,-0.46,1.57,-4.05
 1992/12/09,58.93,62.53,58.85,59.9,27746,-0.29,1.2,-2.96
 1992/12/18,60.88,62.38,59.9,62.3,27742,0.05,0.97,-1.84
 1992/12/25,62.53,63.2,61.7,62.98,32388,0.36,0.84,-0.97
 1992/12/31,63.2,67.85,62.98,66.95,36496,0.92,0.86,0.12
 1993/01/08,67.7,69.58,67.4,69.58,28989,1.55,1,1.11
 1993/01/15,69.8,72.2,69.65,71,43103,2.15,1.23,1.84
 1993/01/19,71.68,74.08,70.78,73.55,25237,2.79,1.54,2.5
 1993/02/05,75.05,82.55,73.7,79.4,54733,3.73,1.98,3.51
 1993/02/12,79.63,82.7,78.13,79.85,76998,4.46,2.48,3.97
 1993/02/19,79.85,88.4,79.85,88.4,61543,5.67,3.11,5.1
 1993/02/26,88.4,92.6,85.55,88.4,72778,6.54,3.8,5.49
 1993/03/05,88.63,93.2,84.2,84.2,88318,6.82,4.4,4.84
 1993/03/12,84.2,88.7,84.2,88.7,55953,7.32,4.99,4.67
 1993/03/19,88.7,88.7,85.4,87.05,46097,7.5,5.49,4.02
 1993/03/26,87.2,87.2,82.4,85.85,44004,7.45,5.88,3.14
 1993/04/02,85.85,86.9,84.88,86.3,22445,7.37,6.18,2.38
 1993/04/09,86.3,88.25,85.1,87.58,27486,7.32,6.41,1.83
 1993/04/16,87.8,91.93,87.8,91.55,63720,7.52,6.63,1.78
 1993/04/23,91.7,91.7,88.4,89,28254,7.39,6.78,1.21
 1993/04/30,89,89.23,87.88,88.4,16838,7.15,6.85,0.58
 1993/05/01,88.4,88.4,87.2,87.28,2795,6.79,6.84,-0.1
 1993/05/02,87.2,87.43,86.83,87.2,3410,6.43,6.76,-0.66
 1993/05/07,87.2,87.35,79.4,82.7,27839,5.71,6.55,-1.68
 1993/05/14,82.7,86.6,81.2,85.7,37122,5.32,6.3,-1.96
 1993/05/21,85.7,86,81.35,81.8,28129,4.65,5.97,-2.65
 1993/05/28,81.91,82.05,76.06,81.03,93059,4,5.58,-3.15
 1993/06/04,81.47,84.54,81.32,83.37,76140,3.64,5.19,-3.1
 1993/06/11,83.08,83.22,79.13,79.42,30046,3,4.75,-3.51
 1993/06/18,79.42,79.57,76.64,79.42,35853,2.46,4.29,-3.66
 1993/06/25,79.86,80.74,76.93,77.37,37074,1.85,3.81,-3.91
 1993/07/02,77.23,77.66,72.11,74.89,34543,1.15,3.27,-4.25
 1993/07/09,74.89,78.4,70.64,70.79,38817,0.26,2.67,-4.82
 1993/07/16,70.79,70.79,62.6,62.6,37644,-1.09,1.92,-6.02
 1993/07/23,62.6,62.89,55.14,62.16,60480,-2.17,1.1,-6.54
 1993/07/30,62.6,72.84,62.31,70.21,104096,-2.35,0.41,-5.52
 1993/08/06,70.64,72.4,68.3,69.91,51652,-2.49,-0.17,-4.64
 1993/08/13,69.91,77.37,69.62,76.79,107027,-2.02,-0.54,-2.96
 1993/08/20,77.23,83.66,68.16,68.45,131021,-2.29,-0.89,-2.81
 1993/08/27,68.01,70.79,63.77,66.26,59373,-2.66,-1.24,-2.83
 1993/09/03,65.82,69.04,65.53,67.57,22728,-2.81,-1.56,-2.51
 1993/09/10,68.01,68.45,65.53,65.96,15634,-3.02,-1.85,-2.35
 1993/09/16,65.53,65.53,62.31,62.45,20395,-3.44,-2.17,-2.54
 1993/09/24,62.02,66.11,60.55,62.75,27137,-3.7,-2.47,-2.45
 1993/09/30,62.75,65.23,62.6,64.36,10407,-3.73,-2.72,-2.01
 1993/10/08,64.79,66.26,63.48,63.48,16345,-3.79,-2.94,-1.7
 1993/10/15,63.33,63.77,62.45,62.89,12427,-3.83,-3.12,-1.43
 1993/10/22,62.6,62.6,60.7,61.14,12583,-3.96,-3.29,-1.36
 1993/10/29,60.7,63.92,58.51,62.16,20457,-3.94,-3.42,-1.05
 1993/11/05,61.72,63.48,60.99,62.45,12568,-3.86,-3.5,-0.7
 1993/11/12,62.31,66.99,62.31,66.11,39860,-3.45,-3.49,0.08
 1993/11/19,66.55,69.47,64.36,64.5,57525,-3.23,-3.44,0.43
 1993/11/26,64.65,65.23,62.16,62.75,33048,-3.15,-3.38,0.46
 1993/12/03,62.6,63.33,62.02,62.02,18027,-3.11,-3.33,0.43
 1993/12/10,62.16,65.23,61.14,63.77,27775,-2.91,-3.24,0.67
 1993/12/17,64.21,65.53,60.7,63.92,44367,-2.71,-3.14,0.86
 1993/12/24,64.36,64.5,61.28,63.33,37698,-2.56,-3.02,0.92
 1993/12/31,63.62,64.65,62.02,63.62,26186,-2.4,-2.9,1
 1994/01/07,62.31,63.77,62.02,62.6,13562,-2.32,-2.78,0.92
 1994/01/14,62.6,63.77,59.68,59.97,22311,-2.45,-2.71,0.54
 1994/01/21,59.97,60.26,56.75,57.04,15536,-2.75,-2.72,-0.05
 1994/01/28,57.19,57.92,53.68,53.83,15697,-3.21,-2.82,-0.78
 1994/02/04,53.24,58.51,49.44,58.51,31116,-3.16,-2.89,-0.55
 1994/02/18,59.24,59.68,51.78,52.51,18369,-3.57,-3.02,-1.09
 1994/02/25,51.78,54.56,50.9,52.66,23310,-3.83,-3.19,-1.29
 1994/03/04,52.66,52.66,49.15,49.15,13567,-4.28,-3.4,-1.75
 1994/03/11,49.15,49.15,45.05,46.81,16864,-4.76,-3.68,-2.17
 1994/03/18,47.68,49.73,46.22,47.83,21855,-5.01,-3.94,-2.13
 1994/03/25,48.56,48.56,42.86,43,20619,-5.53,-4.26,-2.54
 1994/04/01,45.93,55.29,41.69,41.83,30445,-5.97,-4.6,-2.73
 1994/04/08,41.83,42.13,39.64,40.08,14208,-6.38,-4.96,-2.85
 1994/04/15,40.08,40.08,33.35,35.54,44738,-6.99,-5.36,-3.26
