date,o,h,l,c,vol,MACD.DIF,MACD.DEA,MACD.MACD
 1992/04/17,22,26.55,22,23.9,7089,0,0,0
 1992/04/24,23.5,25.7,22.1,25.6,7875,0.14,0.03,0.22
 1992/04/30,25.65,25.65,24,24.9,9955,0.18,0.06,0.25
 1992/05/03,24.9,25.8,24.8,25.1,1415,0.24,0.09,0.28
 1992/05/08,25.1,27,24.3,25,11785,0.27,0.13,0.28
 1992/05/15,25,28,23.6,27.9,8606,0.52,0.21,0.62
 1992/05/22,28,30.45,27.5,30.15,8280,0.89,0.34,1.09
 1992/05/29,30.15,38.7,30.15,35,11820,1.56,0.59,1.94
 1992/06/05,35.5,37.15,31.5,34.25,6205,2,0.87,2.27
 1992/06/11,32.7,33.9,30,31,3065,2.07,1.11,1.92
 1992/06/19,30.8,30.8,26.8,28.5,6290,1.9,1.27,1.26
 1992/06/26,28.35,30,26.7,30,4325,1.86,1.39,0.95
 1992/07/03,30.15,35,30.15,33.1,11060,2.06,1.52,1.08
 1992/07/10,33,33.8,31.2,31.8,6105,2.09,1.63,0.91
 1992/07/17,31.8,34.6,31.8,34.6,4505,2.31,1.77,1.08
 1992/07/24,34.9,36.5,34.8,36.3,8770,2.59,1.93,1.32
 1992/07/31,36.1,36.65,35.8,35.8,2625,2.75,2.1,1.3
 1992/08/07,35,35.5,34,35.4,1670,2.8,2.24,1.13
 1992/08/14,36.45,36.45,32.5,33.6,4790,2.67,2.32,0.69
 1992/08/21,35.05,35.05,33.2,33.2,3380,2.5,2.36,0.29
 1992/08/27,33.05,33.2,31.05,32.5,2415,2.29,2.35,-0.11
 1992/09/04,31.3,31.5,28.75,28.75,2105,1.8,2.24,-0.88
 1992/09/11,28.9,32.5,27,32.2,6295,1.67,2.12,-0.91
 1992/09/18,33,33.5,30.8,31.6,2790,1.5,2,-1
 1992/09/25,31.5,33.5,30.8,32.6,3045,1.43,1.88,-0.91
 1992/09/30,32.5,32.65,32.1,32.4,1190,1.34,1.77,-0.87
 1992/10/04,32.2,32.3,32.1,32.2,255,1.24,1.67,-0.86
 1992/10/09,32.2,32.3,31.2,31.75,985,1.11,1.56,-0.89
 1992/10/16,32.25,32.25,30.8,31,1455,0.94,1.43,-0.99
 1992/10/23,31.15,31.5,26.9,26.9,2290,0.46,1.24,-1.55
 1992/10/30,26.7,26.7,22,24,9530,-0.14,0.96,-2.21
 1992/11/06,24,24.3,22.6,23.1,6535,-0.69,0.63,-2.64
 1992/11/13,22.49,22.85,17.21,17.63,3945,-1.54,0.2,-3.48
 1992/11/19,17.57,17.57,14.45,16.85,10225,-2.26,-0.29,-3.93
 1992/11/27,15.89,19.49,14.21,18.95,12625,-2.63,-0.76,-3.73
 1992/12/04,19.85,24.23,19.85,23.39,22800,-2.53,-1.12,-2.83
 1992/12/11,23.39,26.21,23.21,24.23,16140,-2.36,-1.36,-1.99
 1992/12/18,24.41,24.41,22.37,23.69,7160,-2.24,-1.54,-1.4
 1992/12/25,23.57,23.57,21.59,22.55,12465,-2.21,-1.67,-1.08
 1992/12/31,22.73,24.23,22.25,23.33,8880,-2.11,-1.76,-0.69
 1993/01/08,24.05,25.61,24.05,25.37,10680,-1.83,-1.78,-0.12
 1993/01/15,25.55,31.25,25.55,29.39,35440,-1.28,-1.68,0.79
 1993/01/19,29.45,29.45,28.73,28.85,6850,-0.87,-1.52,1.28
 1993/02/05,29.45,36.59,29.45,35.81,23525,0.01,-1.21,2.44
 1993/02/12,35.81,37.85,32.21,33.89,27055,0.55,-0.86,2.81
 1993/02/19,34.07,39.65,33.65,39.65,32110,1.42,-0.4,3.65
 1993/02/26,39.83,40.85,34.13,35.21,27300,1.74,0.03,3.43
 1993/03/05,35.21,35.21,30.65,31.07,9795,1.64,0.35,2.58
 1993/03/12,30.89,35.81,30.41,35.81,15900,1.92,0.66,2.51
 1993/03/19,35.99,35.99,31.01,31.31,11825,1.75,0.88,1.75
 1993/03/26,31.13,31.13,27.83,30.23,13365,1.52,1.01,1.02
 1993/04/02,30.05,31.37,29.51,31.01,6395,1.38,1.08,0.6
 1993/04/09,31.01,34.25,29.93,33.29,14640,1.44,1.15,0.57
 1993/04/16,33.89,37.13,33.59,35.57,21245,1.65,1.25,0.79
 1993/04/23,35.57,36.65,34.25,35.09,22935,1.76,1.35,0.81
 1993/04/30,35.09,35.57,33.89,34.13,6905,1.75,1.43,0.63
 1993/05/01,34.79,34.91,33.05,33.47,1695,1.67,1.48,0.37
 1993/05/02,33.41,33.89,32.81,33.29,2365,1.57,1.5,0.14
 1993/05/07,33.17,33.41,29.21,30.71,11235,1.27,1.45,-0.37
 1993/05/14,30.71,31.25,27.65,30.83,26930,1.03,1.37,-0.68
 1993/05/21,31.01,31.79,28.13,28.55,18660,0.65,1.22,-1.15
 1993/05/28,28.43,28.61,27.11,27.65,16311,0.27,1.03,-1.53
 1993/06/04,28,30.35,27.29,29.13,18667,0.09,0.84,-1.51
 1993/06/11,29.13,29.13,25.86,26.47,6013,-0.27,0.62,-1.78
 1993/06/18,26.68,27.29,24.43,27.19,9356,-0.49,0.4,-1.77
 1993/06/25,27.49,28.31,26.07,26.98,10309,-0.67,0.19,-1.71
 1993/07/02,26.27,26.98,24.74,26.58,8010,-0.83,-0.02,-1.63
 1993/07/09,26.88,29.02,24.64,24.64,11206,-1.11,-0.24,-1.75
 1993/07/16,24.33,24.33,21.37,21.37,6132,-1.58,-0.5,-2.14
 1993/07/23,21.37,21.37,17.8,20.15,14207,-2.02,-0.81,-2.42
 1993/07/30,20.15,24.43,19.13,24.03,40834,-2.03,-1.05,-1.96
 1993/08/06,24.33,25.25,22.9,23.82,33786,-2.04,-1.25,-1.58
 1993/08/13,23.82,31.37,23.82,30.76,57017,-1.47,-1.29,-0.35
 1993/08/20,31.06,35.86,26.37,26.98,59728,-1.3,-1.29,-0.01
 1993/08/27,26.68,28.51,23.21,25.35,31446,-1.29,-1.29,0.01
 1993/09/03,25.05,26.88,24.43,26.07,10265,-1.21,-1.28,0.14
 1993/09/10,26.27,26.47,24.33,24.43,6388,-1.26,-1.27,0.03
 1993/09/16,24.13,24.23,22.39,22.6,5835,-1.43,-1.3,-0.25
 1993/09/24,22.39,25.76,22.19,23.41,16555,-1.49,-1.34,-0.29
 1993/09/30,23.31,25.05,23.21,24.23,3615,-1.45,-1.36,-0.17
 1993/10/08,24.23,25.76,24.13,24.23,7672,-1.4,-1.37,-0.06
 1993/10/15,24.23,24.33,23.41,23.92,3886,-1.37,-1.37,0
 1993/10/22,23.92,24.84,22.8,23.01,3015,-1.4,-1.38,-0.06
 1993/10/29,23.01,24.13,21.68,23.01,6287,-1.42,-1.38,-0.06
 1993/11/05,22.7,23.72,22.5,22.8,4172,-1.42,-1.39,-0.07
 1993/11/12,23.11,27.7,23.11,27.7,42185,-1.02,-1.32,0.59
 1993/11/19,28,29.74,27.7,29.13,37751,-0.59,-1.17,1.17
 1993/11/26,29.43,30.76,26.68,27.29,24185,-0.38,-1.01,1.26
 1993/12/03,26.98,27.7,26.17,26.47,10496,-0.28,-0.87,1.17
 1993/12/10,26.47,29.02,26.27,28.92,16101,-0.01,-0.7,1.38
 1993/12/17,29.23,29.74,27.49,28.41,23925,0.17,-0.52,1.38
 1993/12/24,28.31,28.51,26.27,28.21,33668,0.29,-0.36,1.3
 1993/12/31,28.51,28.51,25.25,27.09,22264,0.29,-0.23,1.04
 1994/01/07,26.88,27.6,26.17,27.39,10400,0.31,-0.12,0.87
 1994/01/14,27.39,27.39,25.25,25.35,10763,0.16,-0.07,0.45
 1994/01/21,25.35,25.56,23.21,23.21,7543,-0.13,-0.08,-0.1
 1994/01/28,23.21,24.23,21.68,21.68,7409,-0.48,-0.16,-0.64
 1994/02/04,21.17,25.15,19.74,25.05,21896,-0.47,-0.22,-0.51
 1994/02/18,25.25,26.27,21.27,21.78,17873,-0.73,-0.32,-0.81
 1994/02/25,21.68,24.84,20.66,22.8,26219,-0.84,-0.43,-0.82
 1994/03/04,22.8,23.01,20.76,20.86,11235,-1.07,-0.55,-1.03
 1994/03/11,20.86,21.17,19.74,20.25,7365,-1.29,-0.7,-1.17
 1994/03/18,20.86,22.6,20.35,21.17,16563,-1.37,-0.83,-1.07
 1994/03/25,21.27,21.37,17.91,18.42,9563,-1.64,-0.99,-1.28
 1994/04/01,18.62,19.13,17.09,17.4,13750,-1.91,-1.18,-1.46
 1994/04/08,17.5,18.31,16.89,16.99,8567,-2.13,-1.37,-1.53
 1994/04/15,16.89,16.89,12.6,14.74,15866,-2.46,-1.59,-1.75
 1994/04/22,14.74,14.74,10.05,10.97,28902,-3,-1.87,-2.25
 1994/04/29,10.56,13.42,9.95,13.01,36259,-3.22,-2.14,-2.16
 1994/05/06,13.52,16.07,12.28,13.48,55444,-3.32,-2.37,-1.88
 1994/05/13,14.09,15.62,13.54,15.5,59265,-3.19,-2.54,-1.31
 1994/05/20,16.07,16.27,14.85,15.25,28526,-3.08,-2.65,-0.87
 1994/05/27,15.01,15.05,13.01,13.81,6998,-3.07,-2.73,-0.68
 1994/06/03,13.42,13.42,12.09,12.7,8821,-3.12,-2.81,-0.62
 1994/06/10,12.81,15.36,12.6,13.42,37264,-3.06,-2.86,-0.41
 1994/06/17,13.01,13.17,11.38,12.72,10671,-3.04,-2.9,-0.29
 1994/06/24,12.91,12.91,11.58,11.99,6473,-3.05,-2.93,-0.24
 1994/07/01,11.68,11.79,9.56,9.59,13376,-3.21,-2.98,-0.45
 1994/07/08,9.13,9.19,7.99,8.91,4296,-3.35,-3.06,-0.59
 1994/07/15,8.91,8.91,7.62,7.62,7139,-3.53,-3.15,-0.76
 1994/07/22,7.02,7.42,6.45,6.85,4120,-3.69,-3.26,-0.86
 1994/07/29,6.79,8.11,6.39,6.51,17869,-3.8,-3.37,-0.87
 1994/08/05,8.59,14.42,8.22,13.99,137691,-3.25,-3.34,0.19
 1994/08/12,14.85,15.13,11.99,13.13,126283,-2.85,-3.24,0.8
 1994/08/19,13.13,14.42,12.28,13.28,76894,-2.49,-3.09,1.21
 1994/08/26,12.85,13.13,12.05,12.05,39635,-2.27,-2.93,1.31
 1994/09/02,11.76,15.7,11.28,15.7,142604,-1.79,-2.7,1.82
 1994/09/09,17.13,26.13,17.13,21.56,335039,-0.93,-2.35,2.84
 1994/09/16,22.27,24.27,20.27,21.5,95948,-0.24,-1.92,3.37
 1994/09/23,21.13,22.99,19.7,20.99,53959,0.26,-1.49,3.49
 1994/09/30,20.99,22.5,16.56,16.7,62076,0.3,-1.13,2.87
 1994/10/07,15.7,16.27,10.28,14.85,47381,0.19,-0.87,2.11
 1994/10/14,14.59,14.59,11.42,13.08,59760,-0.05,-0.7,1.31
 1994/10/21,12.28,13.99,11.42,12.28,32154,-0.29,-0.62,0.66
 1994/10/28,12.56,14.7,12.56,12.99,42192,-0.43,-0.58,0.31
 1994/11/04,12.56,13.13,12.05,12.16,15564,-0.59,-0.58,-0.02
 1994/11/11,11.99,12.99,11.85,12.59,16501,-0.68,-0.6,-0.15
 1994/11/18,12.93,12.93,12.02,12.16,7231,-0.78,-0.64,-0.28
 1994/11/25,12.1,12.33,11.7,12.08,4920,-0.85,-0.68,-0.34
 1994/12/02,11.99,12.36,11.73,12.02,2790,-0.9,-0.72,-0.35
 1994/12/09,11.93,11.93,10.59,10.73,5644,-1.04,-0.79,-0.5
 1994/12/16,10.42,12.45,9.13,11.56,17368,-1.06,-0.84,-0.44
 1994/12/23,11.56,11.85,10.11,10.68,8535,-1.14,-0.9,-0.48
 1994/12/30,10.45,11.42,10.42,10.93,5325,-1.17,-0.96,-0.43
 1995/01/06,11.33,11.68,11.08,11.56,3967,-1.13,-0.99,-0.28
 1995/01/13,11.08,11.33,10.02,10.13,5784,-1.2,-1.03,-0.33
 1995/01/20,9.56,9.85,8.91,9.13,4174,-1.32,-1.09,-0.46
 1995/01/27,8.85,9.51,8.85,9.36,4649,-1.38,-1.15,-0.46
 1995/02/17,9.13,9.65,9.05,9.22,1512,-1.42,-1.2,-0.44
 1995/02/24,9.13,10.7,8.85,9.31,11642,-1.43,-1.25,-0.37
 1995/03/03,9.71,10.28,9.13,9.65,7310,-1.4,-1.28,-0.24
 1995/03/10,10.13,11.42,9.73,9.99,39016,-1.33,-1.29,-0.08
 1995/03/17,9.99,10.42,9.39,9.73,7043,-1.28,-1.29,0.02
 1995/03/24,9.73,10.36,9.28,9.93,7143,-1.21,-1.27,0.13
 1995/03/31,9.93,10.28,9.71,10.22,7296,-1.12,-1.24,0.25
 1995/04/07,10.36,10.48,9.79,10.33,8900,-1.02,-1.2,0.35
 1995/04/14,10.42,10.79,9.71,9.99,8777,-0.97,-1.15,0.37
 1995/04/21,9.99,10.08,9.56,9.65,5023,-0.94,-1.11,0.34
 1995/04/28,9.51,9.51,6.28,7.19,14736,-1.1,-1.11,0.01
 1995/05/05,7.28,7.28,6.34,6.45,5388,-1.27,-1.14,-0.27
 1995/05/12,6.39,6.71,6.28,6.54,3876,-1.39,-1.19,-0.4
 1995/05/19,6.51,10.68,6.28,10.42,33446,-1.15,-1.18,0.06
 1995/05/26,11.13,11.85,6.62,7.13,53986,-1.22,-1.19,-0.06
 1995/06/02,7.28,7.45,6.85,7.45,6948,-1.23,-1.2,-0.06
 1995/06/09,7.45,7.65,6.79,7.13,7233,-1.25,-1.21,-0.08
 1995/06/16,6.99,8.28,5.85,6.34,10413,-1.31,-1.23,-0.17
 1995/06/23,6.08,6.51,6.08,6.28,3758,-1.36,-1.25,-0.2
 1995/06/30,6.28,6.51,5.99,6.22,6711,-1.38,-1.28,-0.2
 1995/07/07,5.88,6.22,5.82,6.16,3662,-1.38,-1.3,-0.17
 1995/07/14,6.22,6.28,5.94,6.02,6879,-1.38,-1.32,-0.13
 1995/07/21,6.05,6.56,5.99,6.28,12797,-1.35,-1.32,-0.05
 1995/07/28,6.45,6.51,6.14,6.31,7511,-1.3,-1.32,0.04
 1995/08/03,6.34,6.48,6.19,6.28,3893,-1.25,-1.3,0.11
 1995/08/11,6.28,7.42,6.28,7.25,31393,-1.12,-1.27,0.29
 1995/08/18,7.56,10.13,6.96,8.73,66574,-0.89,-1.19,0.61
 1995/08/25,8.85,9.99,6.56,6.88,57767,-0.84,-1.12,0.56
 1995/08/31,6.71,6.82,6.42,6.71,8234,-0.81,-1.06,0.5
 1995/09/08,6.71,6.99,6.51,6.56,8751,-0.79,-1.01,0.43
 1995/09/15,6.51,7.71,6.51,6.93,18185,-0.73,-0.95,0.43
 1995/09/22,6.99,7.02,6.28,6.51,7923,-0.72,-0.9,0.38
 1995/09/29,6.62,6.65,6.22,6.45,5746,-0.7,-0.86,0.33
 1995/10/06,6.51,6.51,6.22,6.31,2490,-0.69,-0.83,0.28
 1995/10/13,6.28,6.28,5.76,5.85,5800,-0.71,-0.8,0.19
 1995/10/20,5.96,6.71,5.88,6.71,10915,-0.65,-0.77,0.25
 1995/10/27,5.62,7.42,5.62,6.25,23163,-0.63,-0.74,0.23
 1995/11/03,6.14,6.28,5.85,6.08,5222,-0.62,-0.72,0.2
 1995/11/10,6.08,6.51,5.74,6.02,7966,-0.61,-0.7,0.17
 1995/11/17,5.96,7.13,5.76,6.05,3369,-0.6,-0.68,0.16
 1995/11/24,5.99,6.22,5.82,5.94,2585,-0.59,-0.66,0.15
 1995/12/01,5.94,5.96,5.39,5.45,4023,-0.61,-0.65,0.08
 1995/12/08,5.45,5.68,5.42,5.56,1989,-0.61,-0.64,0.06
 1995/12/15,5.48,5.85,5.22,5.25,3117,-0.63,-0.64,0.01
 1995/12/22,5.14,5.42,4.88,4.99,3972,-0.66,-0.65,-0.04
 1995/12/29,4.91,4.99,4.34,4.56,4035,-0.71,-0.66,-0.11
 1996/01/05,4.28,4.56,4.19,4.22,840,-0.77,-0.68,-0.18
 1996/01/12,3.88,4.42,3.85,4.14,2765,-0.81,-0.71,-0.21
 1996/01/19,4.08,4.22,3.71,3.82,2443,-0.86,-0.74,-0.25
 1996/01/26,3.82,4.05,3.65,3.99,2899,-0.88,-0.77,-0.22
 1996/02/02,3.91,4.11,3.82,3.96,2288,-0.88,-0.79,-0.19
 1996/02/08,4.08,4.08,3.65,3.65,1897,-0.9,-0.81,-0.18
 1996/02/16,3.79,4.19,3.76,4.14,4553,-0.87,-0.82,-0.09
 1996/03/08,4.45,4.65,3.94,4.11,7621,-0.83,-0.83,-0.01
 1996/03/15,3.99,4.11,3.79,3.96,3161,-0.81,-0.82,0.03
 1996/03/22,3.85,4.08,3.85,4.02,2923,-0.77,-0.81,0.08
 1996/03/29,4.08,4.08,3.79,3.85,2403,-0.75,-0.8,0.1
 1996/04/05,3.99,4.11,3.76,4.11,3931,-0.71,-0.78,0.15
 1996/04/12,4.02,4.99,4.02,4.74,22926,-0.61,-0.75,0.27
 1996/04/19,4.68,5.54,4.68,5.19,35711,-0.5,-0.7,0.4
 1996/04/26,5.11,7.71,5.08,7.08,74344,-0.25,-0.61,0.72
 1996/05/03,7.51,8.88,6.56,6.85,85263,-0.07,-0.5,0.86
 1996/05/10,6.93,7.99,6.28,6.62,47294,0.05,-0.39,0.89
 1996/05/17,6.62,8.28,6.42,8.25,80571,0.28,-0.26,1.07
 1996/05/24,7.13,7.93,5.19,5.51,103091,0.23,-0.16,0.78
 1996/05/31,5.56,5.65,5.02,5.19,20035,0.17,-0.09,0.52
 1996/06/07,5.08,6.31,4.56,5.68,65460,0.16,-0.04,0.4
 1996/06/14,5.88,8.76,5.56,6.85,152413,0.24,0.01,0.45
 1996/06/21,6.85,7.42,6.16,6.99,71543,0.31,0.07,0.48
 1996/06/27,7.08,7.65,6.99,7.16,57639,0.38,0.13,0.49
 1996/07/05,6.88,6.88,5.71,6.51,42785,0.37,0.18,0.38
 1996/07/12,6.82,9.68,6.71,9.68,218699,0.62,0.27,0.7
 1996/07/19,9.42,11.25,7.99,10.79,305645,0.89,0.4,1
 1996/07/26,10.85,12.99,10.42,10.42,210973,1.07,0.53,1.08
 1996/08/02,10.28,15.07,10.28,13.99,353327,1.48,0.72,1.52
 1996/08/09,13.85,14.42,12.7,13.3,156217,1.73,0.92,1.61
 1996/08/16,13.13,13.39,11.65,13.1,89076,1.89,1.11,1.55
 1996/08/23,13.08,13.08,9.13,10.42,62863,1.78,1.25,1.06
 1996/08/30,10.22,14.5,9.42,11.73,90869,1.77,1.35,0.84
 1996/09/06,12.13,13.5,11.22,11.59,161198,1.74,1.43,0.62
 1996/09/13,11.5,13.45,11.1,11.93,73874,1.72,1.49,0.47
 1996/09/20,12.08,13.42,11.22,12.65,114955,1.75,1.54,0.41
 1996/09/27,12.88,13.79,12.39,13.42,83920,1.81,1.59,0.42
 1996/10/04,13.96,14.93,13.3,13.9,43550,1.87,1.65,0.44
 1996/10/11,14.07,17.96,13.79,16.93,194242,2.14,1.75,0.79
 1996/10/18,17.3,17.5,15.5,16.02,147550,2.26,1.85,0.81
 1996/10/25,15.82,19.36,15.5,19.07,185004,2.56,1.99,1.14
 1996/11/01,19.22,22.07,18.36,20.22,154358,2.87,2.17,1.4
 1996/11/08,20.36,21.36,18.07,19.07,72838,2.98,2.33,1.3
 1996/11/15,19.22,22.76,19.07,22.19,152989,3.29,2.52,1.53
 1996/11/22,22.61,30.35,22.19,30.21,270972,4.13,2.84,2.57
 1996/11/29,30.64,32.24,27.07,28.35,174713,4.59,3.19,2.79
 1996/12/06,27.93,32.44,26.64,32.1,138194,5.2,3.59,3.21
 1996/12/13,32.64,36.78,30.64,31.64,159743,5.58,3.99,3.18
 1996/12/20,28.01,28.01,19.79,19.79,65525,4.87,4.17,1.41
 1996/12/27,17.62,20.67,14.59,20.67,49223,4.33,4.2,0.26
 1997/01/03,22.07,23.1,19.84,20.93,52570,3.88,4.13,-0.52
 1997/01/10,20.93,21.21,17.64,20.64,24943,3.45,4,-1.09
 1997/01/17,20.93,22.64,20.36,22.21,34218,3.21,3.84,-1.26
 1997/01/24,21.79,30.35,21.79,29.64,111067,3.57,3.79,-0.43
 1997/01/31,29.5,30.35,27.64,29.78,71426,3.83,3.8,0.07
 1997/02/21,32.07,32.07,24.24,30.07,98748,4.01,3.84,0.34
 1997/02/28,29.78,35.21,28.35,34.24,153866,4.44,3.96,0.96
 1997/03/07,34.58,36.64,34.38,36.21,116367,4.88,4.14,1.47
 1997/03/14,36.07,41.44,35.89,41.24,135167,5.57,4.43,2.29
 1997/03/21,41.35,44.86,39.78,42.26,90021,6.13,4.77,2.72
 1997/03/28,42.21,54.63,42.01,50.75,162034,7.18,5.25,3.85
 1997/04/04,50.86,56,50.35,54.23,279432,8.19,5.84,4.71
 1997/04/11,54.92,60.17,54.86,57.63,302579,9.17,6.5,5.32
 1997/04/18,57.77,58.91,55.8,57.31,79580,9.8,7.16,5.27
 1997/04/25,58.06,72.22,57.49,69.74,187679,11.17,7.97,6.42
 1997/04/30,71.34,73.34,65.2,69.77,99008,12.13,8.8,6.66
 1997/05/09,77.19,77.19,67.77,71.94,125940,12.91,9.62,6.58
 1997/05/16,72.34,74.56,62.63,62.63,94021,12.63,10.22,4.82
 1997/05/23,62.63,67.05,54.92,58.14,72815,11.91,10.56,2.7
 1997/05/30,58.63,62.6,52.63,60.88,56758,11.43,10.73,1.39
 1997/06/06,61.23,66.34,56.91,58.71,69703,10.75,10.74,0.03
 1997/06/13,58.71,61.17,50.06,57.2,44227,9.97,10.58,-1.22
 1997/06/20,57.97,63.34,56.91,63.06,56820,9.72,10.41,-1.38
 1997/06/27,64.05,75.14,60.34,71.05,210301,10.05,10.34,-0.58
 1997/07/04,72.62,73.19,50.92,54.15,58282,8.84,10.04,-2.4
 1997/07/11,53.43,53.43,43.02,48.25,112451,7.33,9.5,-4.34
 1997/07/18,48.42,53.65,46.19,53.32,146925,6.46,8.89,-4.86
 1997/07/25,53.15,65.63,51.76,57.83,261133,6.07,8.32,-4.52
 1997/08/01,56.77,59,55.44,57.89,61553,5.69,7.8,-4.21
 1997/08/08,57.89,57.94,52.04,53.82,52256,5.01,7.24,-4.46
 1997/08/15,51.2,53.43,45.52,47.19,49457,3.89,6.57,-5.36
 1997/08/22,42.01,52.04,42.01,48.36,60913,3.06,5.87,-5.61
 1997/08/29,48.75,54.54,47.42,51.15,83993,2.6,5.22,-5.23
 1997/09/05,51.09,54.99,49.53,53.04,61166,2.36,4.65,-4.57
 1997/09/12,52.54,53.15,48.98,49.03,39552,1.83,4.08,-4.51
 1997/09/19,48.86,48.86,45.69,47.3,21388,1.25,3.51,-4.53
 1997/09/26,47.3,47.3,37.84,42.46,36325,0.4,2.89,-4.99
 1997/09/30,41.79,42.07,39.67,40.79,7668,-0.41,2.23,-5.28
 1997/10/10,40.9,45.58,39.62,43.8,26636,-0.8,1.63,-4.85
 1997/10/17,43.41,50.81,41.74,50.59,73379,-0.55,1.19,-3.48
 1997/10/24,51.2,57.61,47.3,56.88,217731,0.15,0.98,-1.66
 1997/10/31,57.83,60.11,50.53,53.21,187230,0.41,0.87,-0.92
 1997/11/07,52.87,56.22,51.2,53.54,47943,0.63,0.82,-0.38
 1997/11/14,53.71,54.04,49.42,51.43,41190,0.63,0.78,-0.31
 1997/11/21,51.2,55.38,47.86,48.08,53792,0.35,0.7,-0.69
 1997/11/28,47.3,47.3,42.57,45.58,28761,-0.07,0.54,-1.22
 1997/12/05,45.41,46.91,41.74,45.58,22231,-0.39,0.36,-1.5
 1997/12/12,45.08,45.91,43.8,44.52,18314,-0.73,0.14,-1.74
 1997/12/19,44.24,45.08,42.01,42.24,25740,-1.17,-0.12,-2.09
 1997/12/26,42.85,43.57,40.06,42.68,33065,-1.46,-0.39,-2.14
 1997/12/31,42.57,44.8,41.74,42.07,16327,-1.73,-0.66,-2.14
 1998/01/09,42.4,47.03,41.18,46.64,59832,-1.55,-0.84,-1.42
 1998/01/16,47.75,47.86,40.4,43.29,45984,-1.66,-1,-1.31
 1998/01/23,43.41,43.41,41.18,41.85,18309,-1.84,-1.17,-1.34
 1998/02/13,42.85,47.58,42.85,45.24,46046,-1.69,-1.27,-0.84
 1998/02/20,45.08,46.47,43.41,44.74,22244,-1.59,-1.34,-0.52
 1998/02/27,44.74,44.74,42.07,42.4,15164,-1.69,-1.41,-0.56
 1998/03/06,42.4,44.52,40.73,42.29,14817,-1.75,-1.48,-0.55
 1998/03/13,42.57,42.57,39.95,41.51,11345,-1.84,-1.55,-0.59
 1998/03/20,41.18,42.85,40.62,40.84,15366,-1.95,-1.63,-0.63
 1998/03/27,40.23,40.62,37.28,39.62,20446,-2.1,-1.72,-0.76
 1998/04/03,39.62,43.46,38.39,43.41,44404,-1.9,-1.76,-0.28
 1998/04/10,44.41,47.3,41.74,42.35,79821,-1.8,-1.77,-0.07
